#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
_id,ltable.id,rtable.id,ltable.movie_name,ltable.year,ltable.directors,ltable.actors,ltable.critic_rating,ltable.genre,ltable.pg_rating,ltable.duration,rtable.movie_name,rtable.year,rtable.directors,rtable.actors,rtable.movie_rating,rtable.genre,rtable.duration
0,22,2169,Death Sentence,2007,James Wan,"Kevin Bacon,Aisha Tyler,Kelly Preston,Stuart Lafferty,Garrett Hedlund,Matthew O'Leary,John Goodman",2.5,"Action, Crime, Drama, Thriller",Rated R,105 minutes,Death Sentence,2007,James Wan,"Kevin Bacon, John Goodman, Kelly Preston",6.8,"Action, Crime, Drama",105 min 
1,44,291,Broken,2007,Alan White,"Heather Graham,Jeremy Sisto,Jake Busey,Tess Harper,Linda Hamilton,Chad Cunningham",2.0,"Drama, Foreign, Horror, Thriller",Rated R,97 minutes,Broken,2014,Damian X. Fulton,"Soren Fulton, Felix Ryan, Whitney Goin",5.1,"Action, Adventure, Drama",91 min 
2,63,2275,Talladega Nights: The Ballad of Ricky Bobby,2005,Adam McKay,"Will Ferrell,John C. Reilly,Sacha Baron Cohen,Gary Cole,Michael Clarke Duncan,Leslie Bibb,Jane Lynch,Amy Adams,Andy Richter,Molly Shannon",3.5,"Action, Comedy",Rated PG-13,108 minutes,Talladega Nights: The Ballad of Ricky Bobby,2006,Adam McKay,"Will Ferrell, John C. Reilly, Sacha Baron Cohen",6.5,"Action, Comedy, Sport",108 min 
3,84,2070,The Bridge,2006,Eric Steel,,4.0,Documentary,Rated R,93 minutes,The Bridge,2008,Sheldon Schwartz,"Derek Mio, Johnny Giordano, Trevor Murphy",7.5,"Action, Drama, History",45 min 
4,98,3259,Tears of the Black Tiger,2007,,"Chartchai Ngamsan,Stella Malucchi,Suwinit Panjamawat,Supakorn Kitsuwon,Arawat Ruangvuth,Sombati Medhanee",3.0,"Action, Drama, Foreign, Romance, Western",Rated NR,110 minutes,Tears of the Black Tiger,2000,Wisit Sasanatieng,"Chartchai Ngamsan, Stella Malucchi, Supakorn Kitsuwon",7.0,"Action, Comedy, Romance",110 min 
5,104,2333,The Host,2007,Bong Joon-ho,"Song Kang-Ho,Byun Hee-Bong,Park Hae-Il,KoA-Sung,Bae Doo-Na,Scott Wilson",3.5,"Comedy, Drama, Foreign, Horror",Rated R,119 minutes,The Host,2006,Joon-ho Bong,"Kang-ho Song, Hie-bong Byeon, Hae-il Park",7.0,"Action, Drama, Horror",120 min 
6,131,2083,Rush Hour 3,2007,Brett Ratner,"Jackie Chan,Chris Tucker,Max von Sydow,Yvan Attal,Dana Ivey,Roman Polanski",2.0,"Action, Adventure, Comedy, Crime, Thriller",Rated PG-13,91 minutes,Rush Hour 3,2007,Brett Ratner,"Jackie Chan, Chris Tucker, Max von Sydow",6.2,"Action, Comedy, Crime",91 min 
7,131,3100,Rush Hour 3,2007,Brett Ratner,"Jackie Chan,Chris Tucker,Max von Sydow,Yvan Attal,Dana Ivey,Roman Polanski",2.0,"Action, Adventure, Comedy, Crime, Thriller",Rated PG-13,91 minutes,Rush Hour 2,2001,Brett Ratner,"Jackie Chan, Chris Tucker, John Lone",6.6,"Action, Comedy, Crime",90 min 
8,131,3429,Rush Hour 3,2007,Brett Ratner,"Jackie Chan,Chris Tucker,Max von Sydow,Yvan Attal,Dana Ivey,Roman Polanski",2.0,"Action, Adventure, Comedy, Crime, Thriller",Rated PG-13,91 minutes,Rush Hour,1998,Brett Ratner,"Jackie Chan, Chris Tucker, Ken Leung",6.9,"Action, Comedy, Crime",98 min 
9,133,2301,Fay Grim,2007,,"Parker Posey,Jeff Goldblum,James Urbaniak,Saffron Burrows,Thomas Jay Ryan",2.0,"Action, Comedy, Drama, Thriller",Rated NR,118 minutes,Fay Grim,2006,Hal Hartley,"Parker Posey, Jeff Goldblum, Liam Aiken",6.4,"Action, Comedy, Thriller",118 min 
10,146,2087,Live Free or Die Hard,2007,,,3.0,"Action, Thriller",Rated PG-13,128 minutes,Live Free or Die Hard,2007,Len Wiseman,"Bruce Willis, Justin Long, Timothy Olyphant",7.2,"Action, Adventure, Thriller",128 min 
11,150,2092,Transformers,2007,Michael Bay,"Shia LaBeouf,Tyrese Gibson,Josh Duhamel,Anthony Anderson,Megan Fox,Rachael Taylor,John Turturro,Jon Voight",3.0,"Action, Adventure, Science Fiction, Thriller",Rated PG-13,144 minutes,Transformers,2007,Michael Bay,"Shia LaBeouf, Megan Fox, Josh Duhamel",7.1,"Action, Adventure, Sci-Fi",144 min 
12,154,2251,Mission: Impossible III,2006,,"Tom Cruise,Philip Seymour Hoffman,Ving Rhames,Keri Russell,Laurence Fishburne,Billy Crudup,Jonathan Rhys-Meyers,Michelle Monaghan",2.5,"Action, Adventure, Thriller",Rated PG-13,126 minutes,Mission: Impossible III,2006,J.J. Abrams,"Tom Cruise, Michelle Monaghan, Ving Rhames",6.9,"Action, Adventure, Thriller",126 min 
13,154,3161,Mission: Impossible III,2006,,"Tom Cruise,Philip Seymour Hoffman,Ving Rhames,Keri Russell,Laurence Fishburne,Billy Crudup,Jonathan Rhys-Meyers,Michelle Monaghan",2.5,"Action, Adventure, Thriller",Rated PG-13,126 minutes,Mission: Impossible II,2000,John Woo,"Tom Cruise, Dougray Scott, Thandie Newton",6.0,"Action, Adventure, Thriller",123 min 
14,155,2497,The Promise,2006,,"Dong-Gun Jang,Hiroyuki Sanada,Cecilia Cheung,Nicholas Tse,Liu Ye",1.5,"Action, Drama, Fantasy, Foreign, Romance, Science Fiction, Thriller",Rated PG-13,98 minutes,The Promise,2005,Kaige Chen,"Cecilia Cheung, Dong-gun Jang, Hiroyuki Sanada",5.6,"Action, Drama, Fantasy",121 min 
15,158,2273,Poseidon,2006,Wolfgang Petersen,"Josh Lucas,Kurt Russell,Jacinda Barrett,Richard Dreyfuss,Jimmy Bennett,Emmy Rossum,Andre Braugher",2.0,"Action, Adventure, Disaster, Thriller",Rated PG-13,99 minutes,Poseidon,2006,Wolfgang Petersen,"Richard Dreyfuss, Kurt Russell, Emmy Rossum",5.6,"Action, Adventure, Drama",98 min 
16,161,1093,Hate Crime,2006,,"Seth Peterson,Bruce Davison,Chad Donella,Cindy Pickett,Brian J. Smith,Susan Blakely,Farah White,Giancarlo Esposito",2.5,"Drama, Thriller",Rated NR,104 minutes,Hate Crime,2012,James Cullen Bressack,"Jody Barton, Nicholas Adam Clark, Greg Depetro",5.1,"Action, Horror, Thriller",73 min 
