#key=_id
#rtable=POINTER
#foreign_key_ltable=ltable.id
#foreign_key_rtable=rtable.id
#ltable=POINTER
_id,ltable.id,rtable.id,ltable.movie_name,ltable.year,ltable.directors,ltable.actors,ltable.critic_rating,ltable.genre,ltable.pg_rating,ltable.duration,rtable.movie_name,rtable.year,rtable.directors,rtable.actors,rtable.movie_rating,rtable.genre,rtable.duration,gold
1,44,291,Broken,2007,Alan White,"Heather Graham,Jeremy Sisto,Jake Busey,Tess Harper,Linda Hamilton,Chad Cunningham",2,"Drama, Foreign, Horror, Thriller",Rated R,97 minutes,Broken,2014,Damian X. Fulton,"Soren Fulton, Felix Ryan, Whitney Goin",5.1,"Action, Adventure, Drama",91 min,0
2,63,2275,Talladega Nights: The Ballad of Ricky Bobby,2005,Adam McKay,"Will Ferrell,John C. Reilly,Sacha Baron Cohen,Gary Cole,Michael Clarke Duncan,Leslie Bibb,Jane Lynch,Amy Adams,Andy Richter,Molly Shannon",3.5,"Action, Comedy",Rated PG-13,108 minutes,Talladega Nights: The Ballad of Ricky Bobby,2006,Adam McKay,"Will Ferrell, John C. Reilly, Sacha Baron Cohen",6.5,"Action, Comedy, Sport",108 min,1
3,84,2070,The Bridge,2006,Eric Steel,,4,Documentary,Rated R,93 minutes,The Bridge,2008,Sheldon Schwartz,"Derek Mio, Johnny Giordano, Trevor Murphy",7.5,"Action, Drama, History",45 min,0
5,104,2333,The Host,2007,Bong Joon-ho,"Song Kang-Ho,Byun Hee-Bong,Park Hae-Il,KoA-Sung,Bae Doo-Na,Scott Wilson",3.5,"Comedy, Drama, Foreign, Horror",Rated R,119 minutes,The Host,2006,Joon-ho Bong,"Kang-ho Song, Hie-bong Byeon, Hae-il Park",7,"Action, Drama, Horror",120 min,1
6,131,2083,Rush Hour 3,2007,Brett Ratner,"Jackie Chan,Chris Tucker,Max von Sydow,Yvan Attal,Dana Ivey,Roman Polanski",2,"Action, Adventure, Comedy, Crime, Thriller",Rated PG-13,91 minutes,Rush Hour 3,2007,Brett Ratner,"Jackie Chan, Chris Tucker, Max von Sydow",6.2,"Action, Comedy, Crime",91 min,1
7,131,3100,Rush Hour 3,2007,Brett Ratner,"Jackie Chan,Chris Tucker,Max von Sydow,Yvan Attal,Dana Ivey,Roman Polanski",2,"Action, Adventure, Comedy, Crime, Thriller",Rated PG-13,91 minutes,Rush Hour 2,2001,Brett Ratner,"Jackie Chan, Chris Tucker, John Lone",6.6,"Action, Comedy, Crime",90 min,0
8,131,3429,Rush Hour 3,2007,Brett Ratner,"Jackie Chan,Chris Tucker,Max von Sydow,Yvan Attal,Dana Ivey,Roman Polanski",2,"Action, Adventure, Comedy, Crime, Thriller",Rated PG-13,91 minutes,Rush Hour,1998,Brett Ratner,"Jackie Chan, Chris Tucker, Ken Leung",6.9,"Action, Comedy, Crime",98 min,0
9,133,2301,Fay Grim,2007,,"Parker Posey,Jeff Goldblum,James Urbaniak,Saffron Burrows,Thomas Jay Ryan",2,"Action, Comedy, Drama, Thriller",Rated NR,118 minutes,Fay Grim,2006,Hal Hartley,"Parker Posey, Jeff Goldblum, Liam Aiken",6.4,"Action, Comedy, Thriller",118 min,1
10,146,2087,Live Free or Die Hard,2007,,,3,"Action, Thriller",Rated PG-13,128 minutes,Live Free or Die Hard,2007,Len Wiseman,"Bruce Willis, Justin Long, Timothy Olyphant",7.2,"Action, Adventure, Thriller",128 min,1
12,154,2251,Mission: Impossible III,2006,,"Tom Cruise,Philip Seymour Hoffman,Ving Rhames,Keri Russell,Laurence Fishburne,Billy Crudup,Jonathan Rhys-Meyers,Michelle Monaghan",2.5,"Action, Adventure, Thriller",Rated PG-13,126 minutes,Mission: Impossible III,2006,J.J. Abrams,"Tom Cruise, Michelle Monaghan, Ving Rhames",6.9,"Action, Adventure, Thriller",126 min,1
14,155,2497,The Promise,2006,,"Dong-Gun Jang,Hiroyuki Sanada,Cecilia Cheung,Nicholas Tse,Liu Ye",1.5,"Action, Drama, Fantasy, Foreign, Romance, Science Fiction, Thriller",Rated PG-13,98 minutes,The Promise,2005,Kaige Chen,"Cecilia Cheung, Dong-gun Jang, Hiroyuki Sanada",5.6,"Action, Drama, Fantasy",121 min,1
15,158,2273,Poseidon,2006,Wolfgang Petersen,"Josh Lucas,Kurt Russell,Jacinda Barrett,Richard Dreyfuss,Jimmy Bennett,Emmy Rossum,Andre Braugher",2,"Action, Adventure, Disaster, Thriller",Rated PG-13,99 minutes,Poseidon,2006,Wolfgang Petersen,"Richard Dreyfuss, Kurt Russell, Emmy Rossum",5.6,"Action, Adventure, Drama",98 min,1
16,161,1093,Hate Crime,2006,,"Seth Peterson,Bruce Davison,Chad Donella,Cindy Pickett,Brian J. Smith,Susan Blakely,Farah White,Giancarlo Esposito",2.5,"Drama, Thriller",Rated NR,104 minutes,Hate Crime,2012,James Cullen Bressack,"Jody Barton, Nicholas Adam Clark, Greg Depetro",5.1,"Action, Horror, Thriller",73 min,1
18,190,2293,Ice Age: The Meltdown,2006,Carlos Saldanha,"Ray Romano,Denis Leary,Queen Latifah,Josh Peck,Jay Leno,Seann William Scott",2.5,"Adventure, Animation, Family",Rated PG,91 minutes,Ice Age: The Meltdown,2006,Carlos Saldanha,"Ray Romano, John Leguizamo, Denis Leary",6.9,"Animation, Action, Adventure",91 min,1
23,268,2437,King Kong,2005,Peter Jackson,"Naomi Watts,Jack Black,Adrien Brody,Thomas Kretschmann,Colin Hanks,Andy Serkis,Evan Parke",4,"Action, Adventure, Drama, Foreign, Horror, Thriller",Rated PG-13,187 minutes,King Kong,2005,Peter Jackson,"Naomi Watts, Jack Black, Adrien Brody",7.3,"Action, Adventure, Drama",187 min,1
26,324,2308,16 Blocks,2006,Richard Donner,"Bruce Willis,Mos Def,David Morse,Tig Fong,Cylk Cozart,Michael F. Keenan,Sasha Roiz",3,"Action, Adventure, Crime, Thriller",Rated PG-13,105 minutes,16 Blocks,2006,Richard Donner,"Bruce Willis, Yasiin Bey, David Morse",6.6,"Action, Crime, Drama",105 min,1
27,326,2679,Night Watch,2006,Timur Bekmambetov,"Konstantin Khabensky,Vladimir Menshov,Viktor Verzhbitsky,Mariya Poroshina,Gosha Kytsenko,Dima Martynov,Anna Dubrovskaya,Aleksei Chadov,Aleksander Samojlenko",2,"Action, Adventure, Drama, Fantasy, Foreign, Horror, Science Fiction, Thriller",Rated R,114 minutes,Night Watch,2004,Timur Bekmambetov,"Konstantin Khabenskiy, Vladimir Menshov, Mariya Poroshina",6.5,"Action, Fantasy, Thriller",114 min,1
28,327,2270,Running Scared,2006,,"Paul Walker,Cameron Bright,Vera Farmiga,Chazz Palminteri,Alex Neuberger,Ivana Milicevic,Johnny Messner,Michael Cudlitz",3,"Action, Adventure, Crime, Drama, Thriller",Rated R,122 minutes,Running Scared,2006,Wayne Kramer,"Paul Walker, Cameron Bright, Chazz Palminteri",7.5,"Action, Crime, Drama",122 min,1
29,327,4976,Running Scared,2006,,"Paul Walker,Cameron Bright,Vera Farmiga,Chazz Palminteri,Alex Neuberger,Ivana Milicevic,Johnny Messner,Michael Cudlitz",3,"Action, Adventure, Crime, Drama, Thriller",Rated R,122 minutes,Running Scared,1986,Peter Hyams,"Gregory Hines, Billy Crystal, Steven Bauer",6.5,"Action, Comedy, Crime",107 min,0
30,327,5425,Running Scared,2006,,"Paul Walker,Cameron Bright,Vera Farmiga,Chazz Palminteri,Alex Neuberger,Ivana Milicevic,Johnny Messner,Michael Cudlitz",3,"Action, Adventure, Crime, Drama, Thriller",Rated R,122 minutes,Running Scared,1980,Paul Glickler,"Ken Wahl, Judge Reinhold, Annie McEnroe",5.3,"Action, Adventure, Drama",96 min,0
31,338,2951,Derailed,2005,Mikael Hafstrom,"Clive Owen,Jennifer Aniston,Melissa George,Vincent Cassel,RZA,Xzibit",2.5,"Drama, Thriller",Rated R,108 minutes,Derailed,2002,Bob Misiorowski,"Jean-Claude Van Damme, Tomas Arana, Laura Harring",3.9,"Action, Thriller",89 min,0
32,361,3980,No Escape,2015,John Erick Dowdle,"Owen Wilson,Lake Bell,Pierce Brosnan,Sterling Jerins,Spencer Garrett",0.5,Thriller,Rated R,103 minutes,No Escape,1994,Martin Campbell,"Ray Liotta, Lance Henriksen, Stuart Wilson",6,"Action, Drama, Sci-Fi",118 min,0
33,381,106,Dragon Blade,2015,Daniel Lee,"Jackie Chan,John Cusack,Adrien Brody,Sharni Vinson,Max Huang,Si Won Choi,Peng Lin",2,"Action, Adventure, Drama, History",Rated R,127 minutes,Dragon Blade,2015,Daniel Lee,"Jackie Chan, John Cusack, Adrien Brody",6.2,"Action, Adventure, Drama",127 min,1
34,387,1545,Prince,2015,Sam de Jong,"Ayoub Elasri,Oussama Addi,Achraf Meziani,Elsie de Brauw,Sigrid ten Napel,Jorik Scholten",3,"Comedy, Drama",,78 minutes,Prince,2010,Kookie V. Gulati,"Vivek Oberoi, Isaiah, Aruna Shields",4.1,"Action, Crime, Drama",138 min,0
35,413,1743,Breathe,2015,Mlanie Laurent,"Josphine Japy,Lou de Lage,Isabelle Carr,Roxane Duran",3,Drama,Rated NR,91 minutes,Breathe,2009,Nicholas Winter,,4.2,"Action, Drama",86 min,0
36,416,3667,Black Mass,2015,Scott Cooper,"Johnny Depp,Joel Edgerton,Benedict Cumberbatch,Dakota Johnson,Kevin Bacon,Jesse Plemons,Corey Stoll,Peter Sarsgaard,Juno Temple,Adam Scott,Julianne Nicholson,Rory Cochrane,Jamie Donnelly",3,"Crime, Drama",Rated R,122 minutes,Black Mask,1996,Daniel Lee,"Jet Li, Ching Wan Lau, Karen Mok",6.1,"Action, Adventure, Comedy",99 min,0
38,429,728,Captive,2015,Jerry Jameson,"Kate Mara,David Oyelowo,Michael Kenneth Williams,Mimi Rogers,Leonor Varela,E. Roger Mitchell",2,"Crime, Drama, Thriller",Rated PG-13,97 minutes,Captive,2013,Jordan Brown,"Eric Breker, Cory Rempel, Dalias Blake",3.8,"Action, Thriller",88 min,0
39,429,2053,Captive,2015,Jerry Jameson,"Kate Mara,David Oyelowo,Michael Kenneth Williams,Mimi Rogers,Leonor Varela,E. Roger Mitchell",2,"Crime, Drama, Thriller",Rated PG-13,97 minutes,Captive,2008,Aleksey Uchitel,"Vyacheslav Krikunov, Pyotr Logachev, Irakli Mskhalaia",6.2,"Action, Drama",80 min,0
40,441,253,Big Game,2015,Jalmari Helander,"Samuel L. Jackson,Onni Tommila,Ted Levine,Victor Garber,Felicity Huffman",2,"Action, Adventure",Rated PG-13,110 minutes,Big Game,2014,Jalmari Helander,"Samuel L. Jackson, Onni Tommila, Ray Stevenson",5.5,"Action, Adventure",110 min,1
41,455,1623,Pixels,2015,Chris Columbus,"Adam Sandler,Michelle Monaghan,Peter Dinklage,Josh Gad,Kevin James,Ashley Benson,Sean Bean,Jane Krakowski,Brian Cox",1.5,"Action, Comedy, Science Fiction",Rated PG-13,105 minutes,Pixels,2010,Jacek Lusinski,"Marcin Adamkiewicz, Dominik Bak, Mieszko Barglik",4.5,"Action, Comedy",100 min,0
