ID,Title,Year,Director,Cast,Genre,Duration
a1,12 12 12,2014,massimo morini,"davide ageno, mariangela argentino, franco bampi",sci-fi,
a2,2-headed shark attack,2012,christopher ray,"carmen electra, charlie o'connell, brooke hogan","action, horror, sci-fi",88
a6,the abcs of death,2013,kaare andrews,"ingrid bolsø berdal, iván gonzález, kyra zagorsky","comedy, horror",129
a8,abraham lincoln vs. zombies,2012,richard schenkman,"bill oberst jr., kent igleheart, rhianna van helton","action, comedy, horror",96
a10,after,2012,ryan smith,"steven strait, karolina wydra, madison lintz","mystery, thriller",90
a12,air collision,2012,liz adams,"reginald veljohnson, jordan ladd, gerald webb","action, adventure, thriller",92
a14,alien origin,2012,mark atkins,"philip coc, eric darins, daniela flynn","biography, horror, sci-fi, thriller",88
a19,any day now,2013,travis fine,"alan cumming, garret dillahunt, isaac leyva",drama,98
a20,apostle peter and the last supper,2012,gabriel sabloff,"robert loggia, bruce marchiano, laurence fuller","drama, history",
a23,arcadia,2014,olivia silver,"ryan simpkins, ty simpkins, kendall toole",drama,91
a26,art machine,2012,doug karr,"joseph cross, jessica szohr, joey lauren adams",comedy,
a27,atom the amazing zombie killer,2012,zack beins,"tom autry, matthew m. baxter, brad beins","comedy, horror",80
a34,barbie: the princess & the popstar,2012,ezekiel norton,"kelly sheridan, jennifer waris, ashleigh ball","animation, family",86
a37,batman revealed,2012,chris clark,"david b. stewart iii, chris clark, derek mindler","action, crime, drama",62
a38,batman: the dark knight returns part 1,2012,jay oliva,"peter weller, ariel winter, david selby","animation, action, crime",76
a39,the battery,2013,jeremy gardner,"jeremy gardner, adam cronheim, niels bolle","adventure, drama, horror",101
a40,battlefield america,2012,chris stokes,"marques houston, mekia cox, christopher jones","drama, musical",106
a47,beauty and the least: the misadventures of ben banks,2013,bryce clark,"ben banks, katharine towne, mischa barton","comedy, drama, romance",85
a51,beverly hills chihuahua 3: viva la fiesta!,2012,lev l. spiro,"marcus coloma, erin cahill, cedric yarbrough","adventure, comedy, family",89
a52,beyond,2010,pernilla august,"noomi rapace, ola rapace, outi mäenpää",drama,99
a54,big top scooby-doo!,2012,ben jones,"frank welker, mindy cohn, grey griffin","animation, family, fantasy",80
a58,blood for irina,2012,chris alexander,"shauna henry, carrie gemmell, david goodfellow",horror,70
a59,border run,2013,gabriela tagliavini,"sharon stone, promise lamarco, billy zane","crime, thriller",96
a62,branded,2012,jamie bradshaw,"ed stoppard, leelee sobieski, jeffrey tambor","drama, fantasy, thriller",106
a66,bully,2001,larry clark,"brad renfro, nick stahl, bijou phillips","crime, drama",115
a67,butter,2012,jim field smith,"jennifer garner, yara shahidi, ty burrell",comedy,90
a70,california winter,,odin ozdil,"michael ironside, rutina wesley, erick avari","drama, history",
a73,caroline and jackie,2012,adam christian clark,"marguerite moreau, bitsie tulloch, david giuntoli",drama,85
a82,a christmas story 2,2012,brian levant,"daniel stern, braeden lemasters, stacey travis","comedy, family",85
a83,christmas with the dead,2012,t.l. lankford,"damian maffei, brad maule, chet williamson",horror,88
a86,lord of the elves,2012,joseph j. lawson,"bai ling, sun korng, srogn","action, adventure, fantasy",87
a87,cloud atlas,2012,tom tykwer,"tom hanks, halle berry, hugh grant","drama, sci-fi",172
a91,the comedy,2012,rick alverson,"tim heidecker, eric wareheim, james murphy",drama,95
