ID,Title,Director,Cast,Genre
b2,21 jump street,chris miller,"jonah hill, channing tatum, brie larson, dave franco","action & adventure, comedy"
b3,28 hotel rooms,matt ross,"marin ireland, chris messina, martin ireland","drama, romance"
b4,3 2 1... frankie go boom,jordan roberts,"charlie hunnam, chris o'dowd, lizzy caplan, whitney cummings","drama, comedy"
b5,40 days and nights,peter geiger,"monica keena, alex carter, christianna carmine, emily sandifer","mystery & suspense, action & adventure"
b6,the abcs of death,christopher smith,"ingrid bolso berdal, neil maskell, kyra zagorsky, michael smiley","mystery & suspense, horror"
b7,about cherry,stephen elliott,"ashley hinshaw, lili taylor, dev patel, heather graham",drama
b8,abraham lincoln vs. zombies,richard schenkman,"bill oberst jr., jason vail, baby norman, don mcgraw","action & adventure, horror, comedy"
b9,abraham lincoln: vampire hunter,timur bekmambetov,"benjamin walker, dominic cooper, anthony mackie, mary elizabeth winst...","action & adventure, horror, mystery & suspense, science fiction & fantasy"
b10,act of valor,mike mccoy,"roselyn sanchez, jason cottle, alex veadov, nestor serrano","mystery & suspense, action & adventure"
b12,the aggression scale,steven c. miller,"ryan hartwig, fabianne therese, ray wise, dana ashbrook","drama, action & adventure, mystery & suspense"
b13,air collision,liz adams,"jordan ladd, gerald webb, reginald veljohnson, michael teh",action & adventure
b14,alex cross,rob cohen,"tyler perry, matthew fox, edward burns, jean reno","mystery & suspense, action & adventure"
b15,alien origin,mark atkins,"chelsea vincent, peter pedrero, philip coc, trey mccurley","action & adventure, mystery & suspense, science fiction & fantasy"
b16,allegiance,michael connors,"seth gabel, aidan quinn, bow wow, malik yoba","mystery & suspense, science fiction & fantasy"
b17,alter egos,jordan galland,"kris lemche, joey kern, brooke nevin, danny masterson","documentary, comedy"
b18,the amazing adventures of the living corpse,justin paul ritter,"claudine claudio, michael villar, marshal hilton, lee perkins","action & adventure, horror, animation, science fiction & fantasy"
b19,the amazing spider-man,marc webb,"andrew garfield, emma stone, rhys ifans, denis leary","action & adventure, science fiction & fantasy"
b20,american reunion,jon hurwitz,"alyson hannigan, jason biggs, chris klein, thomas ian nicholas","comedy, romance"
b21,any day now,travis fine,"alan cumming, garret dillahunt, isaac leyva, gregg henry",drama
b22,apostle peter and the last supper,gabriel sabloff,"robert loggia, bruce marchiano, laurence fuller, ryan alosio","drama, faith & spirituality"
b23,the apparition,todd lincoln,"ashley greene, sebastian stan, julianna guill, rick gomez","mystery & suspense, horror"
b24,arbitrage,nicholas jarecki,"susan sarandon, richard gere, tim roth, brit marling","mystery & suspense, drama"
b25,arcadia,olivia silver,"john hawkes, ryan simpkins, kendall toole, ty simpkins",drama
b26,argo,ben affleck,"ben affleck, alan arkin, john goodman, bryan cranston","mystery & suspense, drama"
b27,art machine,doug karr,"joseph cross, jessica szohr, meredith hagner, christopher abbott",comedy
b28,atm,david allen brooks,"brian geraghty, josh peck, alice eve, mike o'brien","mystery & suspense, horror"
b30,atom the amazing zombie killer,zack beins,"lloyd kaufman, babette bombshell, shawn c. phillips","horror, comedy"
b31,the avengers,jeremiah chechik,"ralph fiennes, uma thurman, sean connery, eileen atkins",action & adventure
b32,the babymakers,jay chandrasekhar,"paul schneider, olivia munn, kevin heffernan, wood harris","action & adventure, comedy"
b33,bachelorette,leslye headland,"kirsten dunst, isla fisher, lizzy caplan, james marsden",comedy
b34,bad ass,craig moss,"danny trejo, ron perlman, joyful drake, charles s. dutton",action & adventure
b35,bad kids go to hell,matthew spradlin,"judd nelson, ben browder, cameron deane stewar..., ali faulkner","mystery & suspense, comedy"
