ID,Title,Director,Cast,Genre
d0,blade runner: the final cut,ridley scott,,"drama, science fiction"
d1,ace in the hole,billy wilder,"kirk douglas,richard benedict,jan sterling","drama, film noir"
d2,pierrot le fou,jean-luc godard,"jean-paul belmondo,anna karina,graziella galvani","drama, foreign, indie, thriller"
d3,rocket science,jeffrey blitz,"reece daniel thompson,anna kendrick,nicholas d'agosto,vincent piazza,denis o'hare","comedy, drama, indie"
d4,casino royale,martin campbell,"daniel craig,eva green,judi dench,jeffrey wright,giancarlo giannini,mads mikkelsen","action, adventure, foreign, thriller"
d5,death at a funeral,frank oz,"matthew macfadyen,keeley hawes,daisy donovan,alan tudyk,jane asher,rupert graves,peter egan,peter dinklage","comedy, drama, foreign"
d6,superbad,greg mottola,"jonah hill,michael cera,christopher mintz-plasse,bill hader,seth rogen,emma stone",comedy
d7,flanders,bruno dumont,"adelaide leroux,samuel boidin,henri cretel","drama, foreign"
d8,the nanny diaries,"shari springer berman,robert pulcini","scarlett johansson,laura linney,paul giamatti,donna murphy,alicia keys,nathan corddry","comedy, drama, romance"
d9,2 days in paris,julie delpy,"julie delpy,adam goldberg,daniel bruhl,marie pillet,albert delpy,aleksia landeau,adan jodorowsky,alexandre nahon","comedy, foreign, indie, romance"
d10,illegal tender,franc,"wanda dejesus,rick gonzalez,dania ramirez,gary perez,tego calderon,manny perez","action, crime, drama, thriller"
d11,resurrecting the champ,rod lurie,"samuel l. jackson,josh hartnett,teri hatcher,alan alda,kathryn morris,dakota goyo,david paymer","drama, sports film"
d12,private property,joachim lafosse,"isabelle huppert,yannick renier,jeremie renier,patrick descamps","drama, foreign"
d13,the king of kong: a fistful of quarters,seth gordon,,documentary
d14,the 11th hour,"leila conners petersen, nadia conners",,documentary
d15,september dawn,christopher cain,"jon voight,terence stamp,dean cain,jon gries,lolita davidovich","action, drama, history, romance, western"
d16,zodiac,david fincher,"mark ruffalo,jake gyllenhaal,robert downey jr.,anthony edwards,brian cox,charles fleischer,zach grenier,philip baker hall,elias koteas,john carroll lynch,dermot mulroney,chloe sevigny","crime, drama, mystery, thriller"
d17,ratatouille,brad bird,"patton oswalt,ian holm,lou romano,peter o'toole,brad garrett,janeane garofalo,peter sohn,brian dennehy,will arnett","animation, comedy, family"
d18,balls of fury,,"dan fogler,christopher walken,george lopez,robert patrick,james hong,maggie q,thomas lennon,patton oswalt","comedy, sports film"
d19,pan's labyrinth,"guillermo del toro, guillermo del toro","ivana baquero,maribel verdu,sergi lopez,ariadna gil,alex angulo,doug jones","drama, fantasy, foreign, science fiction, war"
d20,delirious,tom dicillo,"michael pitt,steve buscemi,alison lohman,gina gershon,joseph d'onofrio,rodrigo lopresti,cinque lee","comedy, drama, indie, romance"
d21,self medicated,monty lapica,"monty lapica,diane venora,kristina anapau,william stanford davis","drama, indie"
d22,death sentence,james wan,"kevin bacon,aisha tyler,kelly preston,stuart lafferty,garrett hedlund,matthew o'leary,john goodman","action, crime, drama, thriller"
d23,trade,marco kreuzpaintner,"kevin kline,cesar ramos,alicja bachleda-curus,paulina gaitan,linda emond","drama, indie, thriller"
d24,children of men,alfonso cuaron,"clive owen,julianne moore,michael caine,chiwetel ejiofor,clare-hope ashitey,pam ferris","action, adventure, drama, foreign, science fiction, thriller"
