ID,Title,Year,Director,Cast,Genre,Duration
d0,high-rise,2015,ben wheatley,"tom hiddleston, jeremy irons, sienna miller","action, drama, sci-fi",
d1,mercy for angels,2015,k.c. amos,"vida guerra, emilio rivera, john amos","action, drama, thriller",
d2,wind walkers,2015,russell friedenberg,"glen powell, zane holtz, rudy youngblood","action, horror, thriller",
d3,alcatraz prison escape: deathbed confession,2015,john edward lee,"danny trejo, ed o'ross, shelby deekins","action, crime",
d4,barely lethal,2015,kyle newman,"jaime king, samuel l. jackson, madeleine stack","action, adventure, comedy",
d5,the adderall diaries,2015,pamela romanowsky,"amber heard, james franco, christian slater","action, drama, thriller",
d6,the sadist,2015,jeremiah kipp,"tom savini, frank wihbey, santo fazio","action, horror, mystery",
d7,heroes of dirt,2015,eric bugbee,"joel moody, william martinez, vivienne vanhorn","action, drama, sport",
d8,the challenger,2015,kent moran,"kent moran, michael clarke duncan, s. epatha merkerson","action, drama",
d9,six gun savior,2015,kirk murray,"eric roberts, matthew ziff, martin kove","action, adventure, drama",
d10,the cain complex,2015,marcello zamarripa,"marcello zamarripa, billy blair, sue rock","action, thriller",
d11,diamond ruff,2015,alec asten,"felicia pearson, fredro starr, michael barra",action,
d12,final girl,2015,tyler shields,"abigail breslin, wes bentley, logan huffman","action, drama, thriller",
d13,dragon warriors,2015,maclain nelson,"james marsters, kaitlin doubleday, luke perry","action, comedy, fantasy",
d14,landmine goes click,2015,levan bakhia,"sterling knight, spencer locke, dean geyer","action, crime, drama",
d15,run all night,2015,jaume collet-serra,"liam neeson, ed harris, joel kinnaman","action, crime, drama",
d16,american rescue squad,2015,elliot diviney,"tony d. czech, douglas sidney, kariann christensen","action, comedy, musical",
d17,americons,2015,theo avgerinos,"beau martin williams, matt funke, trai byers","action, biography, crime",
d18,i,2015,s. shankar,"'chiyaan' vikram, amy jackson, suresh gopi","action, romance, thriller",
d19,the hunted,2015,robert chapin,"robert chapin, monique ganderton, david lain baker","action, thriller",
d20,orion,2015,asiel norton,"david arquette, lily cole, goran kostic","action, drama, fantasy",
d21,soldiers of the damned,2015,mark nuttall,"gil darnell, miriam cooke, lucas hansen","action, horror, thriller",
d22,tracers,2015,daniel benmayor,"taylor lautner, marie avgeropoulos, adam rayner","action, crime, drama",
d23,gabbar is back,2015,radha krishna jagarlamudi,"akshay kumar, shruti k. haasan, sunil grover","action, crime, drama",
d24,beyond the mask,2015,chad burns,"andrew cheney, john rhys-davies, kara killmer","action, drama",
d25,fight like a girl,2015,daniel armstrong,"elke berry, mick preston, jenna dwyer","action, comedy, horror",
d27,ti mene nosis,2015,ivona juka,"lana baric, vojislav brajovic, natasa janjic","action, drama, family",
d28,last knights,2015,kazuaki kiriya,"clive owen, morgan freeman, aksel hennie","action, adventure",
d29,broken horses,2015,vidhu vinod chopra,"anton yelchin, chris marquette, vincent d'onofrio","action, crime, drama",
d30,the gunman,2015,pierre morel,"sean penn, idris elba, jasmine trinca","action, crime, drama",
d31,lockhart,2015,rocky collins,"david a. lockhart, lina bubisa, vanessa angel","action, adventure, thriller",
d32,darkest day,2015,dan rickard,"dan rickard, chris wandell, samantha bolter","action, adventure, horror",
d33,baahubali: the beginning,2015,s.s. rajamouli,"prabhas, rana daggubati, anushka shetty","action, adventure, history",
d34,blackhat,2015,michael mann,"chris hemsworth, viola davis, wei tang","action, crime, drama",
d35,gridlocked,2015,allan ungar,"dominic purcell, cody hackman, stephen lang",action,
d36,grainne uaile-the movie,2015,ciaran davies,"fionnuala collins, ciaran davies, peter cosgrove",action,
d37,a darker fifty shades: the fetish set,2015,shane wheeler,"bill oberst jr., sarah nicklin, glenda galeano",action,
d38,battle for skyark,2015,simon hung,"caon mortenson, garrett coffey, taylor coliee","action, adventure, family",
d39,risk factor,2015,frank a. caruso,"jalal merhi, loren avedon, elise muller",action,
d40,hidden agenda,2015,aaron warren,"hans hernke, adam barnett, cameron bigelow","action, crime, mystery",
d41,doomsday,2015,neil johnson,"alain terzoli, amy pemberton, darren jacobs","action, sci-fi",
d42,rudhramadevi,2015,gunasekhar,"anushka shetty, allu arjun, rana daggubati","action, biography, history",
d43,subconscious,2015,georgia hilton,"tim abell, aleisha force, tom stedham","action, mystery, thriller",
d44,tiger house,2015,thomas daley,"kaya scodelario, ed skrein, dougray scott","action, crime, drama",
d45,call me king,2015,r.l. scott,"amin joseph, bai ling, chris mulkey","action, crime, drama",
d46,kidnapping mr. heineken,2015,daniel alfredson,"jim sturgess, sam worthington, ryan kwanten","action, crime, drama",
d47,hayride 2,2015,terron r. parsons,"sherri eakin, jeremy sande, jeremy ivy","action, horror, thriller",
d48,american justice,2015,demetrius navarro,"john schneider, tommy 'tiny' lister, james russo",action,
d49,assassin's game,2015,anoop rangi,nan,action,
d50,the minnesota delivery,2015,timothy christian,"wilbert jackson, ambyr pruitt, geoff brown",action,
d51,roy,2015,vikramjit singh,"ranbir kapoor, jacqueline fernandez, arjun rampal","action, drama, romance",
d52,mortdecai,2015,david koepp,"johnny depp, gwyneth paltrow, ewan mcgregor","action, comedy, mystery",
d53,memories of the sword,2015,heung-sik park,"byung-hun lee, do-yeon jeon, go-eun kim","action, drama, history",
d54,superbob,2015,jon drever,"brett goldstein, catherine tate, natalia tena","action, comedy, romance",
d55,vanish,2015,bryan bockbrader,"maiara walsh, tony todd, danny trejo","action, crime, horror",
d56,hardcore,2015,ilya naishuller,"sharlto copley, haley bennett, danila kozlovsky","action, adventure, sci-fi",
d57,pain,2015,steve rahaman,"daniel girace, david francis calderazzo, kim parshley",action,
d58,midnight sex run,2015,ted beck,"jordan kessler, ted beck, dave shalansky","action, adventure, comedy",
d59,skin traffik,2015,ara paiaya,"mickey rourke, daryl hannah, eric roberts","action, crime",
d60,underdog kids,2015,phillip rhee,"phillip rhee, mirelly taylor, max gail","action, family",
d61,welcome back,2015,anees bazmee,"anil kapoor, nana patekar, dimple kapadia","action, comedy, crime",
d62,momentum,2015,stephen s. campanelli,"olga kurylenko, james purefoy, morgan freeman","action, thriller",
d63,spl 2: a time for consequences,2015,pou-soi cheang,"tony jaa, andy on, wu jing","action, crime, drama",
d64,slow west,2015,john maclean,"kodi smit-mcphee, michael fassbender, ben mendelsohn","action, thriller, western",
d65,age of kill,2015,neil jones,"dexter fletcher, april pearson, philip davis",action,
d66,callejero,2015,ray gallardo,"martin santander, manny hernandez, carlos palomino","action, drama, sport",
d67,survivor,2015,james mcteigue,"dylan mcdermott, royce pierreson, ben starr","action, crime, thriller",
d68,richard the lionheart: rebellion,2015,stefano milla,"valeri alessandro, elisa allara, lucia allara","action, adventure, drama",
d69,cowboys vs dinosaurs,2015,ari novak,"eric roberts, rib hillis, casey fitzgerald","action, sci-fi",
d70,zero,2015,gyula nemes,"udo kier, kristian howard, martina kratka","action, comedy, drama",
d71,the night crew,2015,christian sesma,"luke goss, danny trejo, chasty ballesteros","action, thriller",
d72,awaken,2015,mark atkins,"daryl hannah, edward furlong, vinnie jones","action, horror, thriller",
d73,the last rescue,2015,eric colley,"brett cullen, cody kasch, gilles marini","action, drama, war",
d74,zombie ninjas vs black ops,2015,rody claude,"rebecca chalon, adam t perkins, korum ellis",action,
d75,tevar,2015,amit sharma,"arjun kapoor, sonakshi sinha, manoj bajpayee","action, drama, romance",
d76,zordon of eltar,2015,cisco davis jr.,"gene rush, cisco davis jr., soni aralynn",action,
d77,the demolisher,2015,gabriel carrer,"ry barrett, tianna nori, jessica vano","action, horror, thriller",
d78,pocket listing,2015,conor allyn,"rob lowe, burt reynolds, noel gugliemi","action, comedy, crime",
d79,detective byomkesh bakshy!,2015,dibakar banerjee,"sushant singh rajput, anand tiwari, divya menon","action, mystery, thriller",
d80,jalaibee,2015,yasir jaswal,nan,"action, crime, thriller",
d81,phantom,2015,kabir khan,"saif ali khan, katrina kaif, sabyasachi chakraborty","action, drama, thriller",
d82,jurassic prey,2015,mark polonia,"houston baker, james carolus, todd carpenter","action, horror, sci-fi",
d83,in dangerous minds,2015,hussain ahmed,"shawn alli, james tackett, shaker sangam","action, drama",
d84,time teens: the beginning,2015,ryan alexander dewar,"ian grieve, liam brennan, andy gray","action, adventure, fantasy",
d85,mythica: the darkspore,2015,anne k. black,"melanie stone, adam johnson, jake stormoen","action, adventure, fantasy",
d86,parallels,2015,christopher leone,"mark hapka, jessica rothe, eric jungmann","action, sci-fi",
d87,vice,2015,brian a miller,"thomas jane, bruce willis, ambyr childers","action, adventure, sci-fi",
d88,pound of flesh,2015,ernie barbarash,"jean-claude van damme, darren shahlavi, charlotte peters","action, thriller",
d89,rz-9,2015,iain carson,"ethan mcdowell, morgan obenreder, joshua marble","action, sci-fi",
d90,mercenary: absolution,2015,keoni waxman,"steven seagal, byron mann, howard dell","action, adventure, crime",
d91,the assassin,2015,hsiao-hsien hou,"qi shu, chen chang, satoshi tsumabuki","action, drama",
d92,swat: unit 887,2015,timothy woodward jr.,"tom sizemore, mischa barton, timothy woodward jr.","action, thriller",
d93,blunt force trauma,2015,ken sanzel,"mickey rourke, freida pinto, ryan kwanten",action,
