id1,id2,score,title_similarity,director_similarity,year_similarity,cast_similarity
a836,c1903,1.0,1.0,1.0,1.0,1.0
a2969,c584,1.0,1.0,1.0,1.0,1.0
a2132,c2329,1.0,1.0,1.0,1.0,1.0
a925,c1745,1.0,1.0,1.0,1.0,1.0
a1052,c1704,1.0,1.0,1.0,1.0,1.0
a2003,c2281,1.0,1.0,1.0,1.0,1.0
a195,c909,1.0,1.0,1.0,1.0,1.0
a1402,c3021,1.0,1.0,1.0,1.0,1.0
a2107,c2343,1.0,1.0,1.0,1.0,1.0
a2875,c625,1.0,1.0,1.0,1.0,1.0
a2385,c2275,1.0,1.0,1.0,1.0,1.0
a492,c1183,1.0,1.0,1.0,1.0,1.0
a1941,c2434,1.0,1.0,1.0,1.0,1.0
a2633,c575,1.0,1.0,1.0,1.0,1.0
a1702,c2596,1.0,1.0,1.0,1.0,1.0
a1440,c3024,1.0,1.0,1.0,1.0,1.0
a756,c1923,1.0,1.0,1.0,1.0,1.0
a2730,c626,1.0,1.0,1.0,1.0,1.0
a923,c1738,1.0,1.0,1.0,1.0,1.0
a1141,c2099,1.0,1.0,1.0,1.0,1.0
a459,c1530,1.0,1.0,1.0,1.0,1.0
b2672,d1434,1.0,1.0,1.0,1.0,1.0
a1831,c2433,1.0,1.0,1.0,1.0,1.0
a1301,c3185,1.0,1.0,1.0,1.0,1.0
a2191,c2272,1.0,1.0,1.0,1.0,1.0
a375,c1459,1.0,1.0,1.0,1.0,1.0
a1285,c3161,1.0,1.0,1.0,1.0,1.0
a723,c1935,1.0,1.0,1.0,1.0,1.0
a1356,c3166,1.0,1.0,1.0,1.0,1.0
a367,c1453,1.0,1.0,1.0,1.0,1.0
a754,c1895,1.0,1.0,1.0,1.0,1.0
a2719,c607,1.0,1.0,1.0,1.0,1.0
a2741,c595,1.0,1.0,1.0,1.0,1.0
a1786,c2603,1.0,1.0,1.0,1.0,1.0
a1488,c3019,1.0,1.0,1.0,1.0,1.0
a651,c1166,1.0,1.0,1.0,1.0,1.0
a1621,c2595,1.0,1.0,1.0,1.0,1.0
b2410,d1410,1.0,1.0,1.0,1.0,1.0
a2145,c2307,1.0,1.0,1.0,1.0,1.0
a2813,c586,1.0,1.0,1.0,1.0,1.0
a1069,d2617,1.0,1.0,1.0,1.0,1.0
a755,c1896,1.0,1.0,1.0,1.0,1.0
a2352,c2298,1.0,1.0,1.0,1.0,1.0
a1013,c1765,1.0,1.0,1.0,1.0,1.0
a327,c1509,1.0,1.0,1.0,1.0,1.0
a2709,c648,1.0,1.0,1.0,1.0,1.0
a2432,c2082,1.0,1.0,1.0,1.0,1.0
b2410,c640,1.0,1.0,1.0,1.0,1.0
a620,c1198,1.0,1.0,1.0,1.0,1.0
a1340,c3195,1.0,1.0,1.0,1.0,1.0
a2106,c2337,1.0,1.0,1.0,1.0,1.0
a2774,c690,1.0,1.0,1.0,1.0,1.0
a687,c1932,1.0,1.0,1.0,1.0,1.0
a187,c911,1.0,1.0,1.0,1.0,1.0
a1882,c2422,1.0,1.0,1.0,1.0,1.0
a2214,c2293,1.0,1.0,1.0,1.0,1.0
a1058,c1686,1.0,1.0,1.0,1.0,1.0
a2878,c609,1.0,1.0,1.0,1.0,1.0
a2452,c2084,1.0,1.0,1.0,1.0,1.0
a724,c1953,1.0,1.0,1.0,1.0,1.0
a610,c1171,1.0,1.0,1.0,1.0,1.0
b363,d2643,1.0,1.0,1.0,1.0,1.0
a771,c1916,1.0,1.0,1.0,1.0,1.0
a299,c1500,1.0,1.0,1.0,1.0,1.0
a395,c1439,1.0,1.0,1.0,1.0,1.0
a1361,c3201,1.0,1.0,1.0,1.0,1.0
a869,c1768,1.0,1.0,1.0,1.0,1.0
a579,c1214,1.0,1.0,1.0,1.0,1.0
a1308,c3230,1.0,1.0,1.0,1.0,1.0
a1615,c2645,1.0,1.0,1.0,1.0,1.0
a847,c1906,1.0,1.0,1.0,1.0,1.0
a2618,c2139,1.0,1.0,1.0,1.0,1.0
a376,c1442,1.0,1.0,1.0,1.0,1.0
a2925,d1434,1.0,1.0,1.0,1.0,1.0
a590,c1197,1.0,1.0,1.0,1.0,1.0
a387,c1427,1.0,1.0,1.0,1.0,1.0
a2607,c2150,1.0,1.0,1.0,1.0,1.0
a2933,c579,1.0,1.0,1.0,1.0,1.0
a171,c898,1.0,1.0,1.0,1.0,1.0
a2258,c1211,1.0,1.0,1.0,1.0,1.0
a1907,c2474,1.0,1.0,1.0,1.0,1.0
a908,c1687,1.0,1.0,1.0,1.0,1.0
a801,c1910,1.0,1.0,1.0,1.0,1.0
a363,c1483,1.0,1.0,1.0,1.0,1.0
a2558,c2095,1.0,1.0,1.0,1.0,1.0
a511,c1170,1.0,1.0,1.0,1.0,1.0
a217,c928,1.0,1.0,1.0,1.0,1.0
a1558,c3101,1.0,1.0,1.0,1.0,1.0
a737,c1908,1.0,1.0,1.0,1.0,1.0
b2696,d1283,1.0,1.0,1.0,1.0,1.0
a617,c1172,1.0,1.0,1.0,1.0,1.0
a1011,c1731,1.0,1.0,1.0,1.0,1.0
a594,c1185,1.0,1.0,1.0,1.0,1.0
a450,c1466,1.0,1.0,1.0,1.0,1.0
a1471,c3105,1.0,1.0,1.0,1.0,1.0
a1413,c3057,1.0,1.0,1.0,1.0,1.0
a1312,c3208,1.0,1.0,1.0,1.0,1.0
a133,c972,1.0,1.0,1.0,1.0,1.0
a1650,c5697,1.0,1.0,1.0,1.0,1.0
a1792,c2618,1.0,1.0,1.0,1.0,1.0
a1355,c3224,1.0,1.0,1.0,1.0,1.0
a841,c1964,1.0,1.0,1.0,1.0,1.0
a371,c5153,1.0,1.0,1.0,1.0,1.0
a2562,c2083,1.0,1.0,1.0,1.0,1.0
a2640,d1410,1.0,1.0,1.0,1.0,1.0
a1489,c3112,1.0,1.0,1.0,1.0,1.0
a1388,c3064,1.0,1.0,1.0,1.0,1.0
a1906,c2449,1.0,1.0,1.0,1.0,1.0
a2142,c2277,1.0,1.0,1.0,1.0,1.0
a2609,c2198,1.0,1.0,1.0,1.0,1.0
a2521,c2118,1.0,1.0,1.0,1.0,1.0
a551,c1177,1.0,1.0,1.0,1.0,1.0
a331,c1537,1.0,1.0,1.0,1.0,1.0
a2279,c2309,1.0,1.0,1.0,1.0,1.0
a1529,c3089,1.0,1.0,1.0,1.0,1.0
a1760,c2608,1.0,1.0,1.0,1.0,1.0
a457,c1460,1.0,1.0,1.0,1.0,1.0
a250,c949,1.0,1.0,1.0,1.0,1.0
a398,c1441,1.0,1.0,1.0,1.0,1.0
a547,c1176,1.0,1.0,1.0,1.0,1.0
a1999,c2444,1.0,1.0,1.0,1.0,1.0
a1923,c2460,1.0,1.0,1.0,1.0,1.0
a2745,c658,1.0,1.0,1.0,1.0,1.0
a112,c601,1.0,1.0,1.0,1.0,1.0
a2335,c2270,1.0,1.0,1.0,1.0,1.0
a1320,c3178,1.0,1.0,1.0,1.0,1.0
a530,c1178,1.0,1.0,1.0,1.0,1.0
a1758,c2607,1.0,1.0,1.0,1.0,1.0
b2649,d1781,1.0,1.0,1.0,1.0,1.0
a1226,c3200,1.0,1.0,1.0,1.0,1.0
a2965,c699,1.0,1.0,1.0,1.0,1.0
a829,c1949,1.0,1.0,1.0,1.0,1.0
a2925,b2672,1.0,1.0,1.0,1.0,1.0
a2022,c2341,1.0,1.0,1.0,1.0,1.0
a2424,c2258,1.0,1.0,1.0,1.0,1.0
a695,c1930,1.0,1.0,1.0,1.0,1.0
a1997,c2463,1.0,1.0,1.0,1.0,1.0
a548,c1181,1.0,1.0,1.0,1.0,1.0
a1166,c2137,1.0,1.0,1.0,1.0,1.0
a1430,c3016,1.0,1.0,1.0,1.0,1.0
a164,d1936,1.0,1.0,1.0,1.0,1.0
a252,c920,1.0,1.0,1.0,1.0,1.0
b183,d1992,1.0,1.0,1.0,1.0,1.0
a1675,c2588,1.0,1.0,1.0,1.0,1.0
a1767,c2586,1.0,1.0,1.0,1.0,1.0
a2864,c685,1.0,1.0,1.0,1.0,1.0
a420,c1425,1.0,1.0,1.0,1.0,1.0
a1010,c1737,1.0,1.0,1.0,1.0,1.0
a2174,d90,1.0,1.0,1.0,1.0,1.0
a173,c896,1.0,1.0,1.0,1.0,1.0
b964,d2848,1.0,1.0,1.0,1.0,1.0
a563,c1217,1.0,1.0,1.0,1.0,1.0
a2415,c3539,1.0,1.0,1.0,1.0,1.0
a1449,c3049,1.0,1.0,1.0,1.0,1.0
a1022,c1767,1.0,1.0,1.0,1.0,1.0
a1152,c2169,1.0,1.0,1.0,1.0,1.0
a163,c1041,1.0,1.0,1.0,1.0,1.0
a2964,c2790,1.0,1.0,1.0,1.0,1.0
a138,c1001,1.0,1.0,1.0,1.0,1.0
a160,c945,1.0,1.0,1.0,1.0,1.0
a805,c5277,1.0,1.0,1.0,1.0,1.0
a1931,c2475,1.0,1.0,1.0,1.0,1.0
a2020,c2308,1.0,1.0,1.0,1.0,1.0
a32,c1003,1.0,1.0,1.0,1.0,1.0
a2899,c562,1.0,1.0,1.0,1.0,1.0
a1283,c3218,1.0,1.0,1.0,1.0,1.0
a1874,c2506,1.0,1.0,1.0,1.0,1.0
a394,c1552,1.0,1.0,1.0,1.0,1.0
a427,c1481,1.0,1.0,1.0,1.0,1.0
a1057,c3035,1.0,1.0,1.0,1.0,1.0
a870,c1692,1.0,1.0,1.0,1.0,1.0
a510,c1267,1.0,1.0,1.0,1.0,1.0
b180,d1887,1.0,1.0,1.0,1.0,1.0
a1538,c3100,1.0,1.0,1.0,1.0,1.0
a245,c965,1.0,1.0,1.0,1.0,1.0
a1518,c3104,1.0,1.0,1.0,1.0,1.0
a615,c1165,1.0,1.0,1.0,1.0,1.0
a1521,c3026,1.0,1.0,1.0,1.0,1.0
a2963,c606,1.0,1.0,1.0,1.0,1.0
a90,c917,1.0,1.0,1.0,1.0,1.0
a1076,c1680,1.0,1.0,1.0,1.0,1.0
a2312,c2273,1.0,1.0,1.0,1.0,1.0
a1683,c2589,1.0,1.0,1.0,1.0,1.0
a743,c1899,1.0,1.0,1.0,1.0,1.0
