request_id,id1,id2,classic_score,match,confidence,explanation
db4712ed342cac71,a2019,b1782,0.749,1,0.86,"Same title and core cast; director name is a nickname variant; year differs by one and B lists an additional cast member, indicating likely the same film."
137d9cf807502417,b2592,d1335,0.749,1,0.85,"Identical title and director, core cast matches; year differs by one likely due to release vs production date, so high confidence they are the same film."
c0550e1b0d9cdb0f,d2217,d2312,0.748,0,0.96,"Titles, release years, and several cast members differ (Part 1 vs Part 2), indicating distinct movies despite same director and overlapping cast."
e5e5dbe5e44dc791,b2715,b2716,0.748,0,0.86,"Different titles and largely different casts; despite same director and year, they are distinct films."
c64044c1638d61a9,a2723,b2488,0.747,1,0.7,"Same title, director (spelling variation), and overlapping main cast; year and additional cast differ slightly"
468672cdf9cb4433,a735,d2820,0.746,1,0.85,"Same title and director with overlapping main cast; only the year differs by one, suggesting a likely same film."
9ddcdc1748d8fab6,c2301,d133,0.746,1,0.88,"Identical title and director with overlapping main cast; year differs by one, likely due to release date variation, indicating the same film."
fd3cf79cb958180c,b2193,b2194,0.746,0,0.92,Titles and cast differ significantly; same director and year are insufficient to consider them the same entity.
82c4ac0eb8cff51c,a706,d1369,0.746,1,0.85,"Identical title and director, core cast matches; year differs by one and B lists additional cast, suggesting same film with minor data variance."
31c166a19a532b45,b1834,d135,0.746,1,0.92,"Titles and director match exactly, and all cast members from Record A appear in Record B (with minor name variation); only the year differs by one, indicating likely the same entity."
9490aba994667681,a2708,d1743,0.746,1,0.85,"Identical title and director with overlapping main cast; year differs by one and B lists additional cast, lowering confidence slightly."
f355c9f20ea073e4,c253,d441,0.746,1,0.85,"Title and director match exactly, core cast overlaps, year difference likely a data error, extra cast members are common in different listings."
af315ad332ba5c2d,b2193,c2169,0.746,0,0.96,Titles and cast differ significantly; same director/year insufficient for a match
64f58401caef8e1d,b1704,d288,0.746,1,0.85,"Same title, director, and core cast; year differs by one, likely a data error"
