ID,Title,Director,Cast,Genre
c0,high-rise,ben wheatley,"tom hiddleston, jeremy irons, sienna miller","action, drama, sci-fi"
c1,mercy for angels,k.c. amos,"vida guerra, emilio rivera, john amos","action, drama, thriller"
c2,wind walkers,russell friedenberg,"glen powell, zane holtz, rudy youngblood","action, horror, thriller"
c3,alcatraz prison escape: deathbed confession,john edward lee,"danny trejo, ed o'ross, shelby deekins","action, crime"
c4,barely lethal,kyle newman,"jaime king, samuel l. jackson, madeleine stack","action, adventure, comedy"
c5,the adderall diaries,pamela romanowsky,"amber heard, james franco, christian slater","action, drama, thriller"
c6,the sadist,jeremiah kipp,"tom savini, frank wihbey, santo fazio","action, horror, mystery"
c7,heroes of dirt,eric bugbee,"joel moody, william martinez, vivienne vanhorn","action, drama, sport"
c8,the challenger,kent moran,"kent moran, michael clarke duncan, s. epatha merkerson","action, drama"
c9,six gun savior,kirk murray,"eric roberts, matthew ziff, martin kove","action, adventure, drama"
c10,the cain complex,marcello zamarripa,"marcello zamarripa, billy blair, sue rock","action, thriller"
c11,diamond ruff,alec asten,"felicia pearson, fredro starr, michael barra",action
c12,final girl,tyler shields,"abigail breslin, wes bentley, logan huffman","action, drama, thriller"
c13,dragon warriors,maclain nelson,"james marsters, kaitlin doubleday, luke perry","action, comedy, fantasy"
c14,landmine goes click,levan bakhia,"sterling knight, spencer locke, dean geyer","action, crime, drama"
c15,run all night,jaume collet-serra,"liam neeson, ed harris, joel kinnaman","action, crime, drama"
c16,american rescue squad,elliot diviney,"tony d. czech, douglas sidney, kariann christensen","action, comedy, musical"
c17,americons,theo avgerinos,"beau martin williams, matt funke, trai byers","action, biography, crime"
c18,i,s. shankar,"'chiyaan' vikram, amy jackson, suresh gopi","action, romance, thriller"
c19,the hunted,robert chapin,"robert chapin, monique ganderton, david lain baker","action, thriller"
c20,orion,asiel norton,"david arquette, lily cole, goran kostic","action, drama, fantasy"
c21,soldiers of the damned,mark nuttall,"gil darnell, miriam cooke, lucas hansen","action, horror, thriller"
c22,tracers,daniel benmayor,"taylor lautner, marie avgeropoulos, adam rayner","action, crime, drama"
c23,gabbar is back,radha krishna jagarlamudi,"akshay kumar, shruti k. haasan, sunil grover","action, crime, drama"
c24,beyond the mask,chad burns,"andrew cheney, john rhys-davies, kara killmer","action, drama"
c25,fight like a girl,daniel armstrong,"elke berry, mick preston, jenna dwyer","action, comedy, horror"
c27,ti mene nosis,ivona juka,"lana baric, vojislav brajovic, natasa janjic","action, drama, family"
c28,last knights,kazuaki kiriya,"clive owen, morgan freeman, aksel hennie","action, adventure"
c29,broken horses,vidhu vinod chopra,"anton yelchin, chris marquette, vincent d'onofrio","action, crime, drama"
c30,the gunman,pierre morel,"sean penn, idris elba, jasmine trinca","action, crime, drama"
c31,lockhart,rocky collins,"david a. lockhart, lina bubisa, vanessa angel","action, adventure, thriller"
c32,darkest day,dan rickard,"dan rickard, chris wandell, samantha bolter","action, adventure, horror"
c33,baahubali: the beginning,s.s. rajamouli,"prabhas, rana daggubati, anushka shetty","action, adventure, history"
c34,blackhat,michael mann,"chris hemsworth, viola davis, wei tang","action, crime, drama"
c35,gridlocked,allan ungar,"dominic purcell, cody hackman, stephen lang",action
c36,grainne uaile-the movie,ciaran davies,"fionnuala collins, ciaran davies, peter cosgrove",action
c37,a darker fifty shades: the fetish set,shane wheeler,"bill oberst jr., sarah nicklin, glenda galeano",action
c38,battle for skyark,simon hung,"caon mortenson, garrett coffey, taylor coliee","action, adventure, family"
c39,risk factor,frank a. caruso,"jalal merhi, loren avedon, elise muller",action
c40,hidden agenda,aaron warren,"hans hernke, adam barnett, cameron bigelow","action, crime, mystery"
c41,doomsday,neil johnson,"alain terzoli, amy pemberton, darren jacobs","action, sci-fi"
