id,movie_name,year,directors,actors,critic_rating,genre,pg_rating,duration
0,blade runner: the final cut,1982,Ridley Scott,,4.0,"Drama, Science Fiction",Rated R,117 minutes
1,ace in the hole,1951,Billy Wilder,"Kirk Douglas,Richard Benedict,Jan Sterling",4.0,"Drama, Film Noir",Rated NR,111 minutes
2,pierrot le fou,1966,Jean-Luc Godard,"Jean-Paul Belmondo,Anna Karina,Graziella Galvani",3.5,"Drama, Foreign, Indie, Thriller",,110 minutes
3,rocket science,2007,Jeffrey Blitz,"Reece Daniel Thompson,Anna Kendrick,Nicholas D'Agosto,Vincent Piazza,Denis O'Hare",3.5,"Comedy, Drama, Indie",Rated R,101 minutes
4,casino royale,2007,Martin Campbell,"Daniel Craig,Eva Green,Judi Dench,Jeffrey Wright,Giancarlo Giannini,Mads Mikkelsen",4.0,"Action, Adventure, Foreign, Thriller",Rated PG-13,144 minutes
5,death at a funeral,2007,Frank Oz,"Matthew MacFadyen,Keeley Hawes,Daisy Donovan,Alan Tudyk,Jane Asher,Rupert Graves,Peter Egan,Peter Dinklage",3.0,"Comedy, Drama, Foreign",Rated R,90 minutes
6,superbad,2007,Greg Mottola,"Jonah Hill,Michael Cera,Christopher Mintz-Plasse,Bill Hader,Seth Rogen,Emma Stone",3.5,Comedy,Rated R,113 minutes
7,flanders,2007,Bruno Dumont,"Adelaide Leroux,Samuel Boidin,Henri Cretel",3.0,"Drama, Foreign",Rated NR,91 minutes
8,the nanny diaries,2007,"Shari Springer Berman,Robert Pulcini","Scarlett Johansson,Laura Linney,Paul Giamatti,Donna Murphy,Alicia Keys,Nathan Corddry",2.5,"Comedy, Drama, Romance",Rated PG-13,106 minutes
9,2 days in paris,2007,Julie Delpy,"Julie Delpy,Adam Goldberg,Daniel Bruhl,Marie Pillet,Albert Delpy,Aleksia Landeau,Adan Jodorowsky,Alexandre Nahon",3.0,"Comedy, Foreign, Indie, Romance",Rated R,96 minutes
10,illegal tender,2007,Franc,"Wanda DeJesus,Rick Gonzalez,Dania Ramirez,Gary Perez,Tego Calderon,Manny Perez",2.5,"Action, Crime, Drama, Thriller",Rated R,108 minutes
11,resurrecting the champ,2007,Rod Lurie,"Samuel L. Jackson,Josh Hartnett,Teri Hatcher,Alan Alda,Kathryn Morris,Dakota Goyo,David Paymer",3.0,"Drama, Sports Film",Rated PG-13,112 minutes
12,private property,2007,Joachim Lafosse,"Isabelle Huppert,Yannick Renier,Jeremie Renier,Patrick Descamps",3.5,"Drama, Foreign",Rated NR,
13,the king of kong: a fistful of quarters,2007,Seth Gordon,,3.0,Documentary,Rated PG-13,79 minutes
14,the 11th hour,2007,"Leila Conners Petersen, Nadia Conners",,2.0,Documentary,Rated PG,95 minutes
15,september dawn,2007,Christopher Cain,"Jon Voight,Terence Stamp,Dean Cain,Jon Gries,Lolita Davidovich",0.0,"Action, Drama, History, Romance, Western",Rated R,110 minutes
