id1,id2,classic_score,match,confidence,explanation
a3,d285,0.7142857142857143,0,0.95,different title and year
d285,d907,0.7142857142857143,0,0.95,different title and year
a8,b8,0.6666666666666667,1,0.85,"same title and director, minor cast inconsistencies"
a11,b12,0.7250000000000001,1,0.9,"same title, director, and main cast"
b12,d981,0.7250000000000001,1,0.9,"same title and director, minor cast inconsistency"
a12,b13,0.7250000000000001,1,0.85,"same title and director, similar cast"
a14,b15,0.6666666666666667,1,0.8,"same title and director, overlapping cast"
a16,b18,0.6900000000000001,1,0.85,"same title and director, overlapping cast, but different and incomplete year information"
b18,d903,0.6666666666666667,0,0.6,"same title and director, but different cast and year"
a17,b1545,0.6682608695652175,0,0.95,different title and year
a17,d235,0.6782608695652175,0,0.95,different title and year
b1545,b19,0.6615942028985508,0,0.95,different title and year
b19,d235,0.6682608695652175,0,0.95,different title and year
b1545,d901,0.6682608695652175,0,0.95,different title and year
b1545,c1976,0.6532608695652175,0,0.95,different title and year
d235,d901,0.6782608695652175,0,0.95,different title and year
c1976,d235,0.656832298136646,0,0.95,different title and year
c1168,c1976,0.654927536231884,0,0.95,different title and year
a20,b22,0.7250000000000001,1,0.9,"same title, director, and most of the cast"
a23,b25,0.7250000000000001,1,0.85,"same title and director, minor cast inconsistencies"
a26,b27,0.6900000000000001,0,0.8,"same title and director, but different year and partially different cast"
a28,b30,0.65,1,0.75,"same title and director, but different cast and missing year in Record B"
a35,b37,0.6833333333333333,1,0.9,"same title and director, missing year in Record B"
a39,b40,0.7250000000000001,1,0.95,"same title, director and main cast"
a52,b54,0.65,1,0.9,"same title and director, year and cast differences can be due to incomplete or alternative data"
a59,b60,0.7250000000000001,1,0.95,"same title, director, and most of the cast"
a72,b72,0.6900000000000001,1,0.9,"same title, director, and partial cast match"
a84,b84,0.7250000000000001,1,0.9,"same title and director, minor cast inconsistency"
a85,b85,0.7250000000000001,1,0.9,"same title, director, and most of the cast"
a110,b109,0.7250000000000001,1,0.85,"same title, director, and most of the cast"
a116,a521,0.6971153846153846,0,0.95,different title and year
a521,b115,0.6721153846153847,0,0.95,different title and year
a120,b118,0.65,1,0.9,same title and director
a121,b119,0.6900000000000001,1,0.85,"same title and director, minor cast inconsistency"
a132,b127,0.7250000000000001,1,0.85,"same title, director, and most of the cast"
a138,b133,0.7250000000000001,1,0.9,"same title, director and main cast"
b133,d1001,0.7250000000000001,1,0.9,"same title, director, and most of the cast"
a141,b136,0.7250000000000001,1,0.9,"same title, director and main cast"
a165,c349,0.6570175438596492,0,0.95,different title and year
a184,b182,0.6900000000000001,1,0.85,"same title, director, and main cast members, minor inconsistency in cast and missing year in Record B"
