Id,Title,Year,Director,Cast,Genre,Duration
a1,12 12 12,2014,Massimo Morini,"Davide Ageno, Mariangela Argentino, Franco Bampi",Sci-Fi,
a2,2-Headed Shark Attack,2012,Christopher Ray,"Carmen Electra, Charlie O'Connell, Brooke Hogan","Action, Horror, Sci-Fi",88
a6,The ABCs of Death,2013,Kaare Andrews,"Ingrid Bolsø Berdal, Iván González, Kyra Zagorsky","Comedy, Horror",129
a14,Alien Origin,2012,Mark Atkins,"Philip Coc, Eric Darins, Daniela Flynn","Biography, Horror, Sci-Fi, Thriller",88
a26,Art Machine,2012,Doug Karr,"Joseph Cross, Jessica Szohr, Joey Lauren Adams",Comedy,
a38,Batman Revealed,2012,Chris Clark,"David B. Stewart III, Chris Clark, Derek Mindler","Action, Crime, Drama",62
a41,Battlefield America,2012,Chris Stokes,"Marques Houston, Mekia Cox, Christopher Jones","Drama, Musical",106
a48,Beauty and the Least: The Misadventures of Ben Banks,2013,Bryce Clark,"Ben Banks, Katharine Towne, Mischa Barton","Comedy, Drama, Romance",85
a53,Beyond,2010,Pernilla August,"Noomi Rapace, Ola Rapace, Outi Mäenpää",Drama,99
a55,Big Top Scooby-Doo!,2012,Ben Jones,"Frank Welker, Mindy Cohn, Grey Griffin","Animation, Family, Fantasy",80
a60,Border Run,2013,Gabriela Tagliavini,"Sharon Stone, Promise LaMarco, Billy Zane","Crime, Thriller",96
a63,Branded,2012,Jamie Bradshaw,"Ed Stoppard, Leelee Sobieski, Jeffrey Tambor","Drama, Fantasy, Thriller",106
a67,Bully,2001,Larry Clark,"Brad Renfro, Nick Stahl, Bijou Phillips","Crime, Drama",115
a68,Butter,2012,Jim Field Smith,"Jennifer Garner, Yara Shahidi, Ty Burrell",Comedy,90
a88,Lord of the Elves,2012,Joseph J. Lawson,"Bai Ling, Sun Korng, Srogn","Action, Adventure, Fantasy",87
a89,Cloud Atlas,2012,Tom Tykwer,"Tom Hanks, Halle Berry, Hugh Grant","Drama, Sci-Fi",172
a93,The Comedy,2012,Rick Alverson,"Tim Heidecker, Eric Wareheim, James Murphy",Drama,95
a106,To Write Love on Her Arms,2015,Nathan Frankowski,"Kat Dennings, Chad Michael Murray, Rupert Friend","Biography, Drama, Music",118
a107,Dead Before Dawn 3D,2012,April Mullen,"Devon Bostick, Martha MacIsaac, Christopher Lloyd","Adventure, Comedy, Horror",88
a108,Dead Man's Burden,2013,Jared Moshe,"Barlow Jacobs, Clare Bowen, David Call","Drama, Western",93
a111,Death Race: Inferno,2013,Roel Reiné,"Luke Goss, Tanit Phoenix, Danny Trejo","Action, Sci-Fi, Thriller",105
a124,Eating Out: The Open Weekend,2014,Q. Allan Brocka,"Chris Salvatore, Chris Puckett, Daniel Skelton",Comedy,82
a125,Eden,2015,Shyam Madiraju,"Diego Boneta, Jessica Lowndes, James Remar","Drama, Thriller",90
a127,Elf-Man,2012,Ethan Wiley,"Jason 'Wee Man' Acuña, Jeffrey Combs, Mackenzie Astin","Comedy, Family, Fantasy",
a131,See No Evil Hear No Evil,1989,Arthur Hiller,"Richard Pryor, Gene Wilder, Joan Severance","Comedy, Crime, Thriller",103
a136,Filly Brown,2013,Youssef Delara,"Gina Rodriguez, Jenni Rivera, Lou Diamond Phillips","Drama, Music",80
