ID,ID,Title,Year,Director,Cast,Genre,Duration
a-1,1,12 12 12,2014.0,massimo morini,davide ageno^mariangela argentino^franco bampi,sci-fi,
a-2,2,2-headed shark attack,2012.0,christopher ray,carmen electra^charlie o'connell^brooke hogan,action^horror^sci-fi,88 min
a-3,3,21 jump street,2012.0,phil lord,jonah hill^channing tatum^ice cube,action^comedy^crime,109 min
a-4,4,28 hotel rooms,2012.0,matt ross,marin ireland^chris messina^robert deamer,drama,82 min
a-5,5,3 2 1... frankie go boom,2012.0,jordan roberts,charlie hunnam^chris o'dowd^lizzy caplan,comedy,89 min
a-6,6,the abcs of death,2013.0,kaare andrews,ingrid bolsã¸ berdal^ivã¡n gonzã¡lez^kyra zagorsky,comedy^horror,129 min
a-7,7,about cherry,2012.0,stephen elliott,ashley hinshaw^james franco^heather graham,drama,98 min
a-8,8,abraham lincoln vs. zombies,2012.0,richard schenkman,bill oberst jr.^kent igleheart^rhianna van helton,action^comedy^horror,96 min
a-9,9,act of valor,2012.0,mike mccoy,alex veadov^roselyn sanchez^nestor serrano,action^thriller^war,110 min
a-10,10,after,2012.0,ryan smith,steven strait^karolina wydra^madison lintz,mystery^thriller,90 min
a-11,11,the aggression scale,2012.0,steven c. miller,ryan hartwig^fabianne therese^ray wise,action^crime^thriller,85 min
a-12,12,air collision,2012.0,liz adams,reginald veljohnson^jordan ladd^gerald webb,action^adventure^thriller,92 min
a-13,13,alex cross,2012.0,rob cohen,tyler perry^matthew fox^rachel nichols,action^crime^mystery^thriller,101 min
a-14,14,alien origin,2012.0,mark atkins,philip coc^eric darins^daniela flynn,biography^horror^sci-fi^thriller,88 min
a-15,15,alter egos,2012.0,jordan galland,kris lemche^brooke nevin^joey kern,comedy,80 min
a-16,16,the amazing adventures of the living corpse,2012.0,justin paul ritter,maria olsen^marshal hilton^lee perkins,animation^action^fantasy^horror,88 min
a-17,17,the amazing spider-man,2012.0,marc webb,andrew garfield^emma stone^rhys ifans,action^adventure^fantasy,136 min
a-18,18,american reunion,2012.0,jon hurwitz,jason biggs^alyson hannigan^seann william scott,comedy,113 min
a-19,19,any day now,2013.0,travis fine,alan cumming^garret dillahunt^isaac leyva,drama,98 min
a-20,20,apostle peter and the last supper,2012.0,gabriel sabloff,robert loggia^bruce marchiano^laurence fuller,drama^history,
a-21,21,the apparition,2012.0,todd lincoln,ashley greene^sebastian stan^tom felton,horror^thriller,82 min
a-22,22,arbitrage,2012.0,nicholas jarecki,richard gere^susan sarandon^brit marling,drama^thriller,107 min
a-23,23,arcadia,2014.0,olivia silver,ryan simpkins^ty simpkins^kendall toole,drama,91 min
a-24,24,argo,2012.0,ben affleck,ben affleck^bryan cranston^john goodman,drama^history^thriller,120 min
a-25,25,atm,2012.0,david brooks,alice eve^josh peck^brian geraghty,horror^thriller,90 min
a-26,26,art machine,2012.0,doug karr,joseph cross^jessica szohr^joey lauren adams,comedy,
a-28,27,atom the amazing zombie killer,2012.0,zack beins,tom autry^matthew m. baxter^brad beins,comedy^horror,80 min
a-29,28,the avengers,2012.0,joss whedon,robert downey jr.^chris evans^scarlett johansson,action^adventure^sci-fi,143 min
a-30,29,the babymakers,2012.0,jay chandrasekhar,paul schneider^olivia munn^kevin heffernan,comedy,95 min
a-31,30,bachelorette,2012.0,leslye headland,kirsten dunst^isla fisher^lizzy caplan,comedy^romance,87 min
a-32,31,bad ass,2012.0,craig moss,danny trejo^charles s. dutton^ron perlman,action^comedy^crime,90 min
a-33,32,bad kids go to hell,2012.0,matthew spradlin,judd nelson^ben browder^amanda alch,comedy^mystery^thriller,91 min
a-34,33,barbie in a mermaid tale 2,2012.0,william lau,kelly sheridan^ashleigh ball^kathleen barr,animation^family,73 min
a-35,34,barbie: the princess & the popstar,2012.0,ezekiel norton,kelly sheridan^jennifer waris^ashleigh ball,animation^family,86 min
a-36,35,the barrens,2012.0,darren lynn bousman,stephen moyer^mia kirshner^allie macdonald,horror,94 min
a-37,36,barricade,2012.0,andrew currie,eric mccormack^jody thompson^conner dwelly,horror^mystery^thriller,82 min
a-38,37,batman revealed,2012.0,chris clark,david b. stewart iii^chris clark^derek mindler,action^crime^drama,62 min
a-39,38,batman: the dark knight returns part 1,2012.0,jay oliva,peter weller^ariel winter^david selby,animation^action^crime,76 min
a-40,39,the battery,2013.0,jeremy gardner,jeremy gardner^adam cronheim^niels bolle,adventure^drama^horror,101 min
a-41,40,battlefield america,2012.0,chris stokes,marques houston^mekia cox^christopher jones,drama^musical,106 min
a-42,41,battleship,2012.0,peter berg,alexander skarsgã¥rd^brooklyn decker^liam neeson,action^adventure^sci-fi^thriller,131 min
a-43,42,the bay,2012.0,barry levinson,will rogers^kristen connolly^kether donohue,horror^sci-fi^thriller,84 min
a-44,43,bearcity 2: the proposal,2012.0,douglas langway,kevin smith^kathy najimy^richard riehle,comedy,110 min
a-45,44,beasts of the southern wild,2012.0,benh zeitlin,quvenzhanã© wallis^dwight henry^levy easterly,drama^fantasy,93 min
a-46,45,the beauty inside,2015.0,jong-yeol baek,woo-hee chun^ji-han do^hyo-ju han,drama^romance,127 min
a-47,46,being flynn,2012.0,paul weitz,paul dano^robert de niro^julianne moore,drama,102 min
a-48,47,beauty and the least: the misadventures of ben banks,2013.0,bryce clark,ben banks^katharine towne^mischa barton,comedy^drama^romance,85 min
a-49,48,bending the rules,2012.0,artie mandelberg,jamie kennedy^adam copeland^jennifer esposito,comedy^crime,83 min
a-50,49,bernie,2012.0,richard linklater,jack black^shirley maclaine^matthew mcconaughey,comedy^crime^drama,104 min
a-51,50,best man down,2013.0,ted koland,justin long^jess weixler^tyler labine,comedy^drama,89 min
a-52,51,beverly hills chihuahua 3: viva la fiesta!,2012.0,lev l. spiro,marcus coloma^erin cahill^cedric yarbrough,adventure^comedy^family,89 min
a-53,52,beyond,2010.0,pernilla august,noomi rapace^ola rapace^outi mã¤enpã¤ã¤,drama,99 min
a-54,53,big miracle,2012.0,ken kwapis,drew barrymore^john krasinski^john pingayak,biography^drama^romance,107 min
a-55,54,big top scooby-doo!,2012.0,ben jones,frank welker^mindy cohn^grey griffin,animation^family^fantasy,80 min
a-56,55,bill w.,2012.0,dan carracino,bill wilson^dr. bob^blake j. evans,documentary^biography^history,104 min
a-57,56,bindlestiffs,2012.0,andrew edison,john karna^luke loftin^andrew edison,comedy,80 min
a-58,57,black rock,2013.0,katie aselton,katie aselton^lake bell^kate bosworth,horror^thriller,83 min
a-59,58,blood for irina,2012.0,chris alexander,shauna henry^carrie gemmell^david goodfellow,horror,70 min
a-60,59,border run,2013.0,gabriela tagliavini,sharon stone^promise lamarco^billy zane,crime^thriller,96 min
a-61,60,brake,2012.0,gabe torres,stephen dorff^chyler leigh^jr bourne,thriller,92 min
a-62,61,the bourne legacy,2012.0,tony gilroy,jeremy renner^rachel weisz^edward norton,action^adventure^mystery^thriller,135 min
a-63,62,branded,2012.0,jamie bradshaw,ed stoppard^leelee sobieski^jeffrey tambor,drama^fantasy^thriller,106 min
a-64,63,brave,2012.0,mark andrews,kelly macdonald^billy connolly^emma thompson,animation^adventure^comedy^family^fantasy,93 min
a-65,64,breaking wind,2012.0,craig moss,heather ann davis^eric callero^frank pacheco,comedy,82 min
a-66,65,broken roads,2012.0,justin chambers,sally kirkland^aidan bristow^shoshana bush,drama,
a-67,66,bully,2001.0,larry clark,brad renfro^nick stahl^bijou phillips,crime^drama,115 min
a-68,67,butter,2012.0,jim field smith,jennifer garner^yara shahidi^ty burrell,comedy,90 min
a-69,68,the cabin in the woods,2012.0,drew goddard,kristen connolly^chris hemsworth^anna hutchison,horror^mystery^thriller,95 min
a-71,69,california solo,2012.0,marshall lewy,robert carlyle^alexia rasmussen^kathleen wilhoite,drama,94 min
a-72,70,california winter,,odin ozdil,michael ironside^rutina wesley^erick avari,drama^history,
a-73,71,call me kuchu,2013.0,katherine fairfax wright,david kato^christopher senyonjo,documentary^drama,87 min
a-74,72,the campaign,2012.0,jay roach,will ferrell^zach galifianakis^jason sudeikis,comedy,85 min
a-75,73,caroline and jackie,2012.0,adam christian clark,marguerite moreau^bitsie tulloch^david giuntoli,drama,85 min
a-76,74,casa de mi padre,2012.0,matt piedmont,will ferrell^gael garcã­a bernal^diego luna,comedy^western,84 min
a-77,75,celeste & jesse forever,2012.0,lee toland krieger,rashida jones^andy samberg^elijah wood,comedy^drama^romance,92 min
a-78,76,the central park five,2012.0,ken burns,antron mccray^kevin richardson^kharey wise,documentary,119 min
a-79,77,changing the game,2012.0,rel dowdell,jakobi alvin^suzzanne douglas^thomas staten,action,
a-80,78,chasing ice,2012.0,jeff orlowski,james balog^svavar jã³natansson^louie psihoyos,documentary^biography,75 min
a-81,79,chasing mavericks,2012.0,michael apted,jonny weston^gerard butler^elisabeth shue,biography^drama^sport,116 min
a-82,80,chernobyl diaries,2012.0,bradley parker,jesse mccartney^jonathan sadowski^olivia taylor dudley,horror^mystery^thriller,86 min
a-83,81,chimpanzee,2012.0,alastair fothergill,tim allen,documentary,78 min
a-84,82,a christmas story 2,2012.0,brian levant,daniel stern^braeden lemasters^stacey travis,comedy^family,85 min
a-85,83,christmas with the dead,2012.0,t.l. lankford,damian maffei^brad maule^chet williamson,horror,88 min
a-86,84,chronicle,2012.0,josh trank,dane dehaan^alex russell^michael b. jordan,drama^sci-fi^thriller,84 min
a-87,85,the citizen,2013.0,sam kadi,khaled nabawy^agnes bruckner^rizwan manji,drama,99 min
a-88,86,lord of the elves,2012.0,joseph j. lawson,bai ling^sun korng^srogn,action^adventure^fantasy,87 min
a-89,87,cloud atlas,2012.0,tom tykwer,tom hanks^halle berry^hugh grant,drama^sci-fi,172 min
a-90,88,the cold light of day,2012.0,mabrouk el mechri,henry cavill^bruce willis^sigourney weaver,action^thriller,93 min
a-91,89,the collection,2012.0,marcus dunstan,josh stewart^emma fitzpatrick^christopher mcdonald,horror^thriller,82 min
a-92,90,come morning,2012.0,derrick sims,michael ray davis^thor wahlestedt^elise rovinsky,drama^thriller,80 min
a-93,91,the comedy,2012.0,rick alverson,tim heidecker^eric wareheim^james murphy,drama,95 min
a-94,92,compliance,2012.0,craig zobel,ann dowd^dreama walker^pat healy,crime^drama^thriller,90 min
a-95,93,contraband,2012.0,baltasar kormã¡kur,mark wahlberg^giovanni ribisi^kate beckinsale,action^crime^drama^thriller,109 min
a-96,94,cowgirls 'n angels,2012.0,timothy armstrong,bailee madison^dusta kimzey^richard levi,family,92 min
a-469,95,winter's bone,2010.0,debra granik,jennifer lawrence^john hawkes^garret dillahunt,drama,100 min
a-470,96,the wolfman,2010.0,joe johnston,benicio del toro^anthony hopkins^emily blunt,drama^horror^thriller,103 min
a-471,97,wonderful world,2009.0,joshua goldin,matthew broderick^sanaa lathan^michael kenneth williams,drama^romance,89 min
a-472,98,yogi bear,2010.0,eric brevig,dan aykroyd^justin timberlake^anna faris,animation^adventure^comedy^family,80 min
a-473,99,you again,2010.0,andy fickman,kristen bell^odette annable^sigourney weaver,comedy^romance,105 min
a-474,100,you will meet a tall dark stranger,2010.0,woody allen,anthony hopkins^naomi watts^josh brolin,comedy^drama^romance,98 min
a-475,101,youth in revolt,2010.0,miguel arteta,michael cera^portia doubleday^ray liotta,comedy^drama^romance,90 min
a-476,102,11-11-11,2011.0,darren lynn bousman,timothy gibbs^michael landes^wendy glenn,horror^mystery^thriller,90 min
a-477,103,30 minutes or less,2011.0,ruben fleischer,jesse eisenberg^danny mcbride^nick swardson,action^comedy^crime,83 min
a-478,104,35 and ticking,2011.0,russ parr,tamala jones^nicole ari parker^kevin hart,comedy^romance,104 min
a-479,105,50/50,2011.0,jonathan levine,joseph gordon-levitt^seth rogen^anna kendrick,comedy^drama,100 min
a-480,106,abduction,2011.0,john singleton,taylor lautner^lily collins^alfred molina,action^mystery^thriller,106 min
a-481,107,the adjustment bureau,2011.0,george nolfi,matt damon^emily blunt^lisa thoreson,romance^sci-fi^thriller,106 min
a-482,108,the adventures of tintin: the secret of the unicorn,2011.0,jacques exertier,ewan bailey^james barriscale^mark bazeley,adventure,
a-483,109,african cats,2011.0,alastair fothergill,samuel l. jackson^patrick stewart,documentary^adventure,89 min
a-484,110,alvin and the chipmunks: chipwrecked,2011.0,mike mitchell,justin long^jesse mccartney^jason lee,animation^adventure^comedy^family^fantasy^music,87 min
a-485,111,another earth,2011.0,mike cahill,brit marling^william mapother^matthew-lee erlbach,drama^romance^sci-fi,92 min
a-486,112,apollo 18,2011.0,gonzalo lã³pez-gallego,warren christie^lloyd owen^ryan robbins,horror^mystery^sci-fi^thriller,86 min
a-487,113,the art of getting by,2011.0,gavin wiesen,freddie highmore^emma roberts^michael angarano,drama^romance,83 min
a-488,114,arthur,2011.0,jason winer,russell brand^helen mirren^jennifer garner,comedy^romance,110 min
a-489,115,arthur christmas,2011.0,sarah smith,james mcavoy^jim broadbent^bill nighy,animation^comedy^drama^family,97 min
a-490,116,atlas shrugged: part i,2011.0,paul johansson,taylor schilling^grant bowler^matthew marsden,drama^mystery^sci-fi,97 min
a-491,117,bad teacher,2011.0,jake kasdan,cameron diaz^jason segel^justin timberlake,comedy,92 min
a-492,118,battle los angeles,2011.0,jonathan liebesman,aaron eckhart^michelle rodriguez^bridget moynahan,action^sci-fi,116 min
a-493,119,beastly,2011.0,daniel barnz,alex pettyfer^vanessa hudgens^mary-kate olsen,drama^fantasy^romance,86 min
a-494,120,the beaver,2011.0,jodie foster,mel gibson^jodie foster^anton yelchin,drama,91 min
a-495,121,beginners,2011.0,mike mills,ewan mcgregor^christopher plummer^mã©lanie laurent,comedy^drama^romance,105 min
a-496,122,beats rhymes & life: the travels of a tribe called quest,2012.0,michael rapaport,q-tip^phife dawg^ali shaheed muhammad,documentary^music,97 min
a-497,123,a better life,2011.0,chris weitz,demian bichir^josã© juliã¡n^eddie 'piolin' sotelo,drama,98 min
a-498,124,big mommas: like father like son,2011.0,john whitesell,martin lawrence^brandon t. jackson^jessica lucas,action^comedy^crime,107 min
a-499,125,the big year,2011.0,david frankel,owen wilson^jack black^steve martin,comedy,100 min
a-500,126,born to be wild,2011.0,david lickley,birute galdikas^daphne sheldrick^morgan freeman,documentary^short^adventure,40 min
a-501,127,the twilight saga: breaking dawn - part 2,2012.0,bill condon,kristen stewart^robert pattinson^taylor lautner,adventure^drama^fantasy^romance,115 min
a-502,128,bridesmaids,2011.0,paul feig,kristen wiig^maya rudolph^rose byrne,comedy^romance,125 min
a-503,129,buck,2012.0,cindy meehl,buck brannaman^gary myers^bibb frazier,documentary,88 min
a-504,130,bucky larson: born to be a star,2011.0,tom brady,nick swardson^don johnson^christina ricci,comedy,97 min
a-505,131,captain america: the first avenger,2011.0,joe johnston,chris evans^hugo weaving^samuel l. jackson,action^adventure^sci-fi,124 min
a-506,132,carnage,2011.0,roman polanski,jodie foster^kate winslet^christoph waltz,comedy^drama,80 min
a-507,133,cars 2,2011.0,john lasseter,owen wilson^larry the cable guy^michael caine,animation^adventure^comedy^family^sport,106 min
a-508,134,cedar rapids,2011.0,miguel arteta,ed helms^john c. reilly^anne heche,comedy,87 min
a-509,135,the chaperone,2011.0,stephen herek,paul levesque^kevin corrigan^josã© zãºã±iga,action^comedy^family,103 min
a-510,136,colombiana,2011.0,olivier megaton,zoe saldana^michael vartan^callum blue,action^crime^drama^thriller,108 min
a-511,137,conan the barbarian,2011.0,marcus nispel,jason momoa^ron perlman^rose mcgowan,action^adventure^fantasy,113 min
a-512,138,the conspirator,2011.0,robert redford,robin wright^james mcavoy^tom wilkinson,crime^drama^history,122 min
a-513,139,contagion,2011.0,steven soderbergh,matt damon^kate winslet^jude law,drama^sci-fi^thriller,106 min
a-514,140,courageous,2011.0,alex kendrick,alex kendrick^ken bevel^kevin downes,drama,129 min
a-515,141,cowboys & aliens,2011.0,jon favreau,daniel craig^harrison ford^olivia wilde,action^sci-fi^thriller^western,119 min
a-516,142,the darkest hour,2011.0,chris gorak,emile hirsch^olivia thirlby^max minghella,action^drama^horror^sci-fi^thriller,89 min
a-517,143,i am what i am,1967.0,tinto brass,jean-louis trintignant^ewa aulin^roberto bisacco,drama^mystery^thriller,107 min
a-518,144,the debt,2011.0,john madden,helen mirren^sam worthington^tom wilkinson,drama^thriller,113 min
a-519,145,the descendants,2011.0,alexander payne,george clooney^shailene woodley^amara miller,comedy^drama,115 min
a-520,146,the devil's double,2011.0,lee tamahori,dominic cooper^ludivine sagnier^raad rawi,biography^drama^thriller,109 min
a-521,147,diary of a wimpy kid: rodrick rules,2011.0,david bowers,zachary gordon^devon bostick^robert capron,comedy^family,99 min
a-522,148,the dilemma,2011.0,ron howard,vince vaughn^kevin james^winona ryder,comedy^drama,111 min
a-523,149,dolphin tale,2011.0,charles martin smith,morgan freeman^ashley judd^harry connick jr.,drama^family,113 min
a-524,150,don't be afraid of the dark,2011.0,troy nixey,katie holmes^guy pearce^bailee madison,fantasy^horror^thriller,99 min
a-525,151,the double,2014.0,richard ayoade,jesse eisenberg^mia wasikowska^wallace shawn,comedy^drama^thriller,93 min
a-526,152,dream house,2011.0,jim sheridan,daniel craig^rachel weisz^naomi watts,drama^mystery^thriller,92 min
a-527,153,drive,2011.0,nicolas winding refn,ryan gosling^carey mulligan^bryan cranston,crime^drama,100 min
a-528,154,drive angry,2011.0,patrick lussier,nicolas cage^amber heard^william fichtner,action^comedy^fantasy^thriller,104 min
a-529,155,dylan dog: dead of night,2011.0,kevin munroe,brandon routh^anita briem^sam huntington,action^comedy^crime^fantasy^horror^mystery^sci-fi^thriller,107 min
a-530,156,the eagle,2011.0,kevin macdonald,channing tatum^jamie bell^donald sutherland,action^adventure^drama,114 min
a-531,157,everything must go,2011.0,dan rush,will ferrell^rebecca hall^christopher jordan wallace,comedy^drama,97 min
a-532,158,extremely loud & incredibly close,2012.0,stephen daldry,thomas horn^tom hanks^sandra bullock,adventure^drama^mystery,129 min
a-533,159,fast five,2011.0,justin lin,vin diesel^paul walker^dwayne johnson,action^crime^thriller,131 min
a-534,160,father of invention,2011.0,trent cooper,kevin spacey^camilla belle^heather graham,comedy^drama,93 min
